"X","Mechanism","Factor"
"CG7587","Trans-dominant","Stage"
"CG31698","Trans-dominant","Stage"
"Yp1","Trans-dominant","Stage"
"CG5107","Trans-dominant","Stage"
"CG42834","Trans-dominant","Stage"
"CG15404","Trans-dominant","Stage"
"TpnC4","Trans-dominant","Stage"
"Vm26Aa","Trans-dominant","Stage"
"CG16826","Trans-dominant","Stage"
"CG34220","Trans-dominant","Stage"
"CG15219","Trans-dominant","Stage"
"CG14332","Trans-dominant","Stage"
"plh","Trans-dominant","Stage"
"CG7017","Trans-dominant","Stage"
"CG12374","Trans-dominant","Stage"
"loopin-1","Trans-dominant","Stage"
"fit","Trans-dominant","Stage"
"CG4891","Trans-dominant","Stage"
"CG7290","Trans-dominant","Stage"
"CG33333","Trans-dominant","Stage"
"CG15617","Trans-dominant","Stage"
"pgc","Trans-dominant","Stage"
"ProtB","Trans-dominant","Stage"
"CG31496","Trans-dominant","Stage"
"CG9021","Trans-dominant","Stage"
"CG34172","Trans-dominant","Stage"
"zpg","Trans-dominant","Stage"
"CG11854","Trans-dominant","Stage"
"E(spl)mgamma-HLH","Trans-dominant","Stage"
"otu","Trans-dominant","Stage"
"ImpE2","Trans-dominant","Stage"
"Gbeta76C","Trans-dominant","Stage"
"CG31988","Trans-dominant","Stage"
"Spn43Aa","Trans-dominant","Stage"
"CG4836","Trans-dominant","Stage"
"CG8834","Trans-dominant","Stage"
"CG10477","Trans-dominant","Stage"
"fs(1)Ya","Trans-dominant","Stage"
"Cpr12A","Trans-dominant","Stage"
"CG31207","Trans-dominant","Stage"
"CG2127","Trans-dominant","Stage"
"CG11211","Trans-dominant","Stage"
"CG14645","Trans-dominant","Stage"
"CG3906","Trans-dominant","Stage"
"CG8343","Trans-dominant","Stage"
"Ser8","Trans-dominant","Stage"
"CG11674","Trans-dominant","Stage"
"CG10104","Trans-dominant","Stage"
"Lcp4","Trans-dominant","Stage"
"CG5945","Trans-dominant","Stage"
"CG15109","Trans-dominant","Stage"
"CG43134","Trans-dominant","Stage"
"Vml","Trans-dominant","Stage"
"APC7","Trans-dominant","Stage"
"trp","Trans-dominant","Stage"
"CG9133","Trans-dominant","Stage"
"CG8564","Trans-dominant","Stage"
"CG34204","Trans-dominant","Stage"
"S-Lap8","Trans-dominant","Stage"
"CG11912","Trans-dominant","Stage"
"tomboy40","Trans-dominant","Stage"
"CG30039","Trans-dominant","Stage"
"Vm26Ab","Trans-dominant","Stage"
"CG12860","Trans-dominant","Stage"
"CG13245","Trans-dominant","Stage"
"sut4","Trans-dominant","Stage"
"CheA7a","Trans-dominant","Stage"
"Mst98Cb","Trans-dominant","Stage"
"Cpr49Ae","Trans-dominant","Stage"
"CG12539","Trans-dominant","Stage"
"Alp1","Trans-dominant","Stage"
"CG31077","Trans-dominant","Stage"
"CG32834","Trans-dominant","Stage"
"CG12470","Trans-dominant","Stage"
"CG10920","Trans-dominant","Stage"
"CG12861","Trans-dominant","Stage"
"CG14300","Trans-dominant","Stage"
"CG43052","Trans-dominant","Stage"
"CG3483","Trans-dominant","Stage"
"Pxt","Trans-dominant","Stage"
"clos","Trans-dominant","Stage"
"CG31788","Trans-dominant","Stage"
"CG5790","Trans-dominant","Stage"
"CG3124","Trans-dominant","Stage"
"CG3213","Trans-dominant","Stage"
"Vm26Ac","Trans-dominant","Stage"
"CG2053","Trans-dominant","Stage"
"CG31787","Trans-dominant","Stage"
"Lcp1","Trans-dominant","Stage"
"CG9389","Trans-dominant","Stage"
"Ppi1","Trans-dominant","Stage"
"CG30378","Trans-dominant","Stage"
"sowi","Trans-dominant","Stage"
"CG11349","Trans-dominant","Stage"
"CG10869","Trans-dominant","Stage"
"l(2)k05911","Trans-dominant","Stage"
"gskt","Trans-dominant","Stage"
"fs(1)M3","Trans-dominant","Stage"
"d","Trans-dominant","Stage"
"CG5043","Trans-dominant","Stage"
"CG5968","Trans-dominant","Stage"
"CG34298","Trans-dominant","Stage"
"CG18266","Trans-dominant","Stage"
"sunz","Trans-dominant","Stage"
"Ser12","Trans-dominant","Stage"
"CG9222","Trans-dominant","Stage"
"CG1561","Trans-dominant","Stage"
"Hex-t2","Trans-dominant","Stage"
"CG7202","Trans-dominant","Stage"
"CG12307","Trans-dominant","Stage"
"CG13898","Trans-dominant","Stage"
"Hsp60C","Trans-dominant","Stage"
"dj","Trans-dominant","Stage"
"CG9010","Trans-dominant","Stage"
"CG3330","Trans-dominant","Stage"
"CG5539","Trans-dominant","Stage"
"Six4","Trans-dominant","Stage"
"Arr1","Trans-dominant","Stage"
"CG17564","Trans-dominant","Stage"
"CG31528","Trans-dominant","Stage"
"CG7813","Trans-dominant","Stage"
"Ppm1","Trans-dominant","Stage"
"CG31029","Trans-dominant","Stage"
"ms(2)35Ci","Trans-dominant","Stage"
"CG6927","Trans-dominant","Stage"
"frm","Trans-dominant","Stage"
"Iris","Trans-dominant","Stage"
"CG14305","Trans-dominant","Stage"
"S-Lap4","Trans-dominant","Stage"
"Acp65Aa","Trans-dominant","Stage"
"CG4375","Trans-dominant","Stage"
"Hex-C","Trans-dominant","Stage"
"CG14545","Trans-dominant","Stage"
"ms(3)76Ca","Trans-dominant","Stage"
"Ama","Trans-dominant","Stage"
"swif","Trans-dominant","Stage"
"piwi","Trans-dominant","Stage"
"CG14926","Trans-dominant","Stage"
"CG13164","Trans-dominant","Stage"
"Mst33A","Trans-dominant","Stage"
"CG5866","Trans-dominant","Stage"
"blanks","Trans-dominant","Stage"
"CG2267","Trans-dominant","Stage"
"CG17134","Trans-dominant","Stage"
"Hsp60B","Trans-dominant","Stage"
"CG31609","Trans-dominant","Stage"
"rpk","Trans-dominant","Stage"
"CG15425","Trans-dominant","Stage"
"CR43176","Trans-dominant","Stage"
"CG1340","Trans-dominant","Stage"
