"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CG12011",-0.368722478393194,0.0634159319210879,-3.10912270538239,0.00258068862076798,0.00258068862076798,-4.10421815906913
"CG13743",0.687416092583308,0.427538810212011,2.99066863173219,0.00367558161908818,0.00367558161908818,-4.14210644674884
"Cpr47Ed",0.352700161012752,0.0924727204599928,2.97603773502238,0.00383730475078268,0.00383730475078268,-4.14672259912126
"CG13712",0.428081342190843,0.0658673228776748,2.96224935423335,0.0039957168859136,0.0039957168859136,-4.15105981876842
"Ugt86De",-0.34808813446452,0.118648367581741,-2.89769539905416,0.00482094933927392,0.00482094933927392,-4.17119391714594
"Acp53C14a",0.259293994968584,0.032411749371073,2.81271215795325,0.0061470160017405,0.0061470160017405,-4.19725720066472
"CG42544",0.186293420751326,0.0271964088200898,2.8023355946331,0.0063300570647235,0.0063300570647235,-4.20040425515778
"CG34266",0.44593294384982,0.0653187701451791,2.7733889096861,0.00686738997806243,0.00686738997806243,-4.2091419806873
"CG42367",0.720995349859864,0.263765672752592,2.73865145061051,0.0075671554302307,0.0075671554302307,-4.21954642346588
"tsg",0.285846455000232,0.0692220451274561,2.66604185647949,0.0092443261386281,0.0092443261386281,-4.24100226639222
"Cp7Fc",-1.38767891446256,3.10287779137674,-2.5256905409232,0.0134739394141542,0.0134739394141542,-4.28131710375277
"CG31813",-0.379145273733071,0.0848359591442332,-2.42185958511931,0.0176488054049734,0.0176488054049734,-4.31011721675583
"CG3713",0.563043252891933,0.377489554932234,2.39427284427763,0.018936764476477,0.018936764476477,-4.3176174977609
"CG14756",-0.194581961847321,0.0559548795593335,-2.37454657416545,0.0199084005749146,0.0199084005749146,-4.32294092723939
"yellow-g2",-1.42257870136907,3.69846420932667,-2.36802249122729,0.0202393679540234,0.0202393679540234,-4.32469420831001
"Cpr30F",0.159268121402705,0.0510125189499015,2.36072771857246,0.0206152136106496,0.0206152136106496,-4.32665026658252
"RabX5",-0.209136116556378,0.226176671355867,-2.32162978161272,0.0227371574004805,0.0227371574004805,-4.33705565126979
"CG14752",-0.356312795659959,0.159668345143139,-2.18904519121226,0.0314393969003419,0.0314393969003419,-4.37133517667706
"Cp7Fb",-1.17533979280746,3.64784716799654,-2.18833938037508,0.0314926105913281,0.0314926105913281,-4.37151342405643
"CG43244",-0.150241328808495,0.0349085883552982,-2.18738537943259,0.0315646612803223,0.0315646612803223,-4.37175427764157
"Fcp3C",-1.19494185581576,2.93265966542343,-2.17741208216722,0.0323265535225138,0.0323265535225138,-4.37426721550766
"Osi20",-0.211945357485757,0.0558875766651498,-2.13394752196281,0.0358372486952768,0.0358372486952768,-4.38511189276988
"CG12470",0.47128552312421,1.63079396068911,2.11674794644798,0.0373153568719614,0.0373153568719614,-4.38935489430287
"CG1701",-0.17929887833282,0.0573181517504047,-2.11667087329444,0.0373220976344191,0.0373220976344191,-4.38937384549222
"Osi19",-0.179046410395709,0.0425358032650278,-2.08550550222738,0.0401357520273347,0.0401357520273347,-4.39699128632726
"Ilp7",0.363043334739544,0.487093288697499,2.08040287696283,0.040613466343404,0.040613466343404,-4.39822975578108
"CG12828",0.426927034737561,0.197384981700242,2.0695279321026,0.0416479935550488,0.0416479935550488,-4.4008610165001
"yellow-g",-1.26849417270998,3.26756046910768,-2.02907244732839,0.0456983449444211,0.0456983449444211,-4.41055066116247
"CG34196",0.924564910821658,0.812498925349712,2.02842107853302,0.0457662318256986,0.0457662318256986,-4.41070539224573
"NimC4",-0.525748723004978,0.551510480647365,-1.99029666676558,0.0498931912518453,0.0498931912518453,-4.41969049323135
"CG15563",0.484636144772286,0.372285879952493,1.98784848286257,0.0501687376520639,0.0501687376520639,-4.42026267000045
"CG13114",-1.18597691241542,3.35112783172654,-1.98081758687861,0.0509673068815467,0.0509673068815467,-4.42190265392877
"CG34038",0.441265595571163,0.659072422060556,1.95398265501373,0.0541155928069891,0.0541155928069891,-4.4281176669973
"mtt",0.282749103938759,0.323080129604222,1.95033575846595,0.0545559491959158,0.0545559491959158,-4.42895685103736
"Cp36",-1.2521730903535,4.98903061129988,-1.94486027443231,0.0552228180592209,0.0552228180592209,-4.43021435564868
"CG13159",-0.429869409687942,0.142438067867218,-1.9246712826095,0.0577417656754806,0.0577417656754806,-4.4348254514445
"CG11381",-1.03884253735121,2.4682653497183,-1.89784034174059,0.0612393636454355,0.0612393636454355,-4.44089108898585
"CG11356",0.124223216823001,0.0484929787156891,1.86921490756942,0.0651662047430306,0.0651662047430306,-4.44728326869841
"CG13361",0.108853014653891,0.0407035861552444,1.85462675417443,0.06724744285913,0.06724744285913,-4.45050923829505
"NetA",-0.423846919572975,1.31124353278875,-1.80006790861932,0.0755309949301016,0.0755309949301016,-4.4623832604313
"CG13670",-0.161431751470892,0.0319818922510555,-1.78953815449561,0.0772236346139479,0.0772236346139479,-4.4646399978223
"CG12278",0.0947627630736689,0.0171574143606411,1.78188721115951,0.0784731565003657,0.0784731565003657,-4.46627261521537
"CG4009",-0.915871159440081,2.73388462965862,-1.7728382092368,0.0799725853260798,0.0799725853260798,-4.46819579369611
"CG15213",1.14448517848139,2.38538765585413,1.77100800402836,0.0802787171341124,0.0802787171341124,-4.46858374097162
"CG14309",-0.578641880454232,2.41158440957592,-1.76973215639756,0.0804926965468788,0.0804926965468788,-4.46885397725122
"Osi6",-0.42757754893289,0.320245247544601,-1.76735932043697,0.0808919124786985,0.0808919124786985,-4.46935611939107
"CG14834",-1.16102091113784,4.59803206945308,-1.75810714445952,0.0824642040773293,0.0824642040773293,-4.4713085235891
"CG16815",0.136956294880508,0.0375888097874874,1.75773067821384,0.0825287103242934,0.0825287103242934,-4.47138777862298
"CG32645",-0.262768210903114,0.721250280209429,-1.74874623179668,0.0840805653752056,0.0840805653752056,-4.47327486472855
"CG12723",-0.0766820312488626,0.022114254773614,-1.74302427637757,0.0850813812464897,0.0850813812464897,-4.47447233986307
"CG43400",-0.706055975018294,3.80946970871028,-1.72952244285565,0.087481882457956,0.087481882457956,-4.47728448696902
"CG14326",-0.456576209368715,0.291362219654461,-1.72295945695434,0.0886686656501329,0.0886686656501329,-4.47864456508052
"CG14034",0.16822266102983,0.0913876726343915,1.72076656966956,0.089068137970544,0.089068137970544,-4.47909800621073
"CG14797",0.353688345546734,0.0845720773477198,1.71842758783603,0.0894958500119334,0.0894958500119334,-4.4795811033218
"CG15570",-0.882165812304512,2.56348796939586,-1.71106645520582,0.0908529281900857,0.0908529281900857,-4.48109775367335
"CG33798",-0.0926542212514995,0.0153919496357912,-1.7021714270292,0.0925152302628026,0.0925152302628026,-4.48292287514111
"TwdlF",-0.177228537899901,0.0969866182136743,-1.69473701414644,0.0939235794337438,0.0939235794337438,-4.48444193762618
"dyl",-0.17102706414571,0.114755980698427,-1.69445976427915,0.0939764374904213,0.0939764374904213,-4.48449847545625
"CG44405",-0.17102241602432,0.21236269197914,-1.64912105853006,0.102952515133202,0.102952515133202,-4.49363509890408
"CG13711",0.322187735259537,0.153522538430701,1.64248264557402,0.104323246938582,0.104323246938582,-4.49495460400032
"srw",0.269586408101353,0.157047568796689,1.63974648537371,0.104892502013804,0.104892502013804,-4.4954971020142
"Cpr64Ac",0.147895310844991,0.0962374800884661,1.62530243657075,0.107939312834558,0.107939312834558,-4.49834770561138
"CG34115",-0.602053208456976,0.619411581208815,-1.60633675374593,0.112047819867938,0.112047819867938,-4.50205683677289
"CG34224",-0.324677459540015,0.108182018565522,-1.60344691937245,0.112684728061032,0.112684728061032,-4.50261862125774
"CG31785",-0.328526689859337,0.445414534839637,-1.592690854236,0.115080899361557,0.115080899361557,-4.50470172306989
"CG13113",-0.797235663607845,2.24659101135747,-1.58787913449702,0.116165957346165,0.116165957346165,-4.50562957041141
"Gr2a",0.0950551420369891,0.0439686468579135,1.58751682608592,0.116247989373525,0.116247989373525,-4.5056993336999
"CG9184",-0.445938595476652,0.38777324741159,-1.58374261663586,0.117105285757258,0.117105285757258,-4.50642522521741
"CG14932",-0.509107120530911,1.99925416873851,-1.58102742767229,0.117725150711004,0.117725150711004,-4.50694648641858
"Acp53C14b",0.153391122728243,0.0383213143805518,1.57718073638578,0.118607817855837,0.118607817855837,-4.50768361182266
"CheB42a",0.170670243261059,0.0806088552652656,1.57261060913918,0.119663345401084,0.119663345401084,-4.50855729003037
"zen2",0.0954924830151211,0.0313650943541429,1.56850769582844,0.120617335254352,0.120617335254352,-4.50933972774949
"CG17707",0.303075468797827,0.358026948783318,1.56239846703642,0.12204904618942,0.12204904618942,-4.51050140151126
"CG11777",1.6232724885515,2.61722333661553,1.56084529578116,0.122415183814991,0.122415183814991,-4.51079609379414
"Cpr76Bb",0.148551847874494,0.0577978900234711,1.55861016110963,0.122943617837225,0.122943617837225,-4.51121972030238
"Cpr64Aa",0.529655742892745,0.804823837259498,1.55818892027091,0.123043411157841,0.123043411157841,-4.51129949771363
"CG9766",0.188675593542059,0.241147862915511,1.54979736096404,0.125044854580955,0.125044854580955,-4.51288473677682
"CG1690",0.787650078188693,1.99546159549064,1.54659161538641,0.125816236046897,0.125816236046897,-4.513488312178
"CG10280",-0.377283880963579,0.647541216289881,-1.51789251168089,0.132891216511205,0.132891216511205,-4.51884191124044
