"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CG7587",12.4300401532722,6.24005577896776,62.4762344803169,6.98292757082015e-71,6.98292757082015e-71,146.03672933508
"CG31698",10.343693446428,5.3138602765309,45.5971452765088,5.43385709181946e-60,5.43385709181946e-60,124.084450421371
"Yp1",-12.4965671146281,5.75617284099,-43.8169348463179,1.24988910912671e-58,1.24988910912671e-58,121.224651032359
"CG5107",-9.62726914287773,4.94103688702637,-36.7555043643794,1.11912366659237e-52,1.11912366659237e-52,108.497454776586
"CG42834",9.70890913776178,4.94206313656949,35.3545964827824,2.24092423705434e-51,2.24092423705434e-51,105.671335137026
"CG15404",9.66670418168304,4.74353986833572,33.5922720305028,1.1314276495664e-49,1.1314276495664e-49,101.953023991093
"TpnC4",-10.8830782118414,5.00095601500774,-31.6987340873076,9.37806134798047e-48,9.37806134798047e-48,97.7396493193793
"Vm26Aa",-11.5108714663281,5.02491694440812,-31.6370712262819,1.0869804628677e-47,1.0869804628677e-47,97.5984239437992
"CG16826",-10.2421979231923,5.78516166053292,-30.5799763028696,1.41924596671502e-46,1.41924596671502e-46,95.1361227334064
"CG34220",-10.1795848838299,5.26087182953674,-29.8812972265883,8.08207754702461e-46,8.08207754702461e-46,93.4646681721377
"CG15219",6.89578260130525,1.87483923750418,29.4271919224236,2.54965898126509e-45,2.54965898126509e-45,92.3588712298684
"CG14332",10.413501915333,5.58741908438403,29.3228618013361,3.3267488933143e-45,3.3267488933143e-45,92.1026095511367
"plh",-6.88175708005633,3.51964835591474,-28.7420759113602,1.48415636939174e-44,1.48415636939174e-44,90.6607095260166
"CG7017",7.87111233619872,3.55675584883423,28.4404404943525,3.25876231410295e-44,3.25876231410295e-44,89.9014256912614
"CG12374",-9.68701493105972,4.79980885023716,-28.4141536550871,3.49108497846634e-44,3.49108497846634e-44,89.8349134266586
"loopin-1",7.38034300551495,2.95388286934549,28.0689653069756,8.66581310652664e-44,8.66581310652664e-44,88.9563525771015
"fit",-10.3893434510376,5.45084647980856,-27.0162110739347,1.46840580813326e-42,1.46840580813326e-42,86.2164774396741
"CG4891",3.55210685663412,0.862616041962274,26.8816356094251,2.12188293755599e-42,2.12188293755599e-42,85.8595098881643
"CG7290",8.46005179040121,3.71360513868792,26.6469570188426,4.04626817498131e-42,4.04626817498131e-42,85.2332840620202
"CG33333",9.16395038991729,4.95740840039217,26.5918257391388,4.71190367665176e-42,4.71190367665176e-42,85.0854770899752
"CG15617",-6.91311306694174,3.08605507668772,-26.256981429346,1.19472688260621e-41,1.19472688260621e-41,84.18204354868
"pgc",-9.20155232488851,5.21327536785336,-25.7538977120201,4.92130501641336e-41,4.92130501641336e-41,82.8059705509993
"ProtB",6.91986295786835,3.34298953149455,25.6553666357519,6.51022533021935e-41,6.51022533021935e-41,82.5337891680603
"CG31496",6.92644076547783,3.43031896904026,25.6001093304618,7.61909055383642e-41,7.61909055383642e-41,82.3807598412559
"CG9021",8.85384473038014,5.43525804885572,25.5434439976877,8.95510029820034e-41,8.95510029820034e-41,82.2235413126783
"CG34172",-11.9511167935049,6.68104446625258,-24.9014343715731,5.69672663726531e-40,5.69672663726531e-40,80.42153335373
"zpg",-6.0355789371859,3.40328723583815,-24.3427074652966,2.93785823495889e-39,2.93785823495889e-39,78.8216292001957
"CG11854",9.24530742820546,4.96262879600559,24.0582711012649,6.84695509072632e-39,6.84695509072632e-39,77.99556559832
"E(spl)mgamma-HLH",4.02100522340255,1.06500840720881,23.6977468327425,2.02304672673004e-38,2.02304672673004e-38,76.9370790976456
"otu",-4.88224903404477,3.28888215829207,-23.3867995646332,5.20162813209701e-38,5.20162813209701e-38,76.0137146883446
"ImpE2",8.25437487359396,4.45130842793399,23.2760149726713,7.29865033138803e-38,7.29865033138803e-38,75.6823740409686
"Gbeta76C",-7.42199712571246,3.88550960444265,-23.1756662290626,9.92972473905136e-38,9.92972473905136e-38,75.3811650084661
"CG31988",6.62019637898374,1.83076276044401,23.1736437145777,9.99162678660686e-38,9.99162678660686e-38,75.3750835898816
"Spn43Aa",6.1195000896333,3.2805189082974,23.0381159003736,1.51667345648792e-37,1.51667345648792e-37,74.9666130294093
"CG4836",5.49912507602211,2.04408159320216,22.7027260782109,4.29376467148865e-37,4.29376467148865e-37,73.9476031770324
"CG8834",-7.5427500645108,3.62665313346941,-22.60683572839,5.79361382612749e-37,5.79361382612749e-37,73.6541029647698
"CG10477",-7.71154614588683,4.16474149369328,-22.4502195176657,9.46943038937896e-37,9.46943038937896e-37,73.1726514765745
"fs(1)Ya",-5.90504002452707,2.73447407711494,-22.2836290104316,1.60130301421096e-36,1.60130301421096e-36,72.6576851832408
"Cpr12A",6.98737159693845,3.21123384427711,22.1585140516103,2.38029791865916e-36,2.38029791865916e-36,72.268981570381
"CG31207",-5.40948711722223,1.38228291962486,-22.1152308510642,2.73118718823312e-36,2.73118718823312e-36,72.1341197572695
"CG2127",5.9651155400759,2.40704649113093,21.8849260882147,5.69547198869793e-36,5.69547198869793e-36,71.4131376862057
