"Gene","Mechanism","Factor"
"CG7587","Cis x Trans","Stage"
"CG31698","Cis x Trans","Stage"
"Yp1","Cis x Trans","Stage"
"CG5107","Cis x Trans","Stage"
"CG42834","Cis x Trans","Stage"
"CG15404","Cis x Trans","Stage"
"TpnC4","Cis x Trans","Stage"
"Vm26Aa","Cis x Trans","Stage"
"CG16826","Cis x Trans","Stage"
"CG34220","Cis x Trans","Stage"
"CG15219","Cis x Trans","Stage"
"CG14332","Cis x Trans","Stage"
"plh","Cis x Trans","Stage"
"CG7017","Cis x Trans","Stage"
"CG12374","Cis x Trans","Stage"
"loopin-1","Cis x Trans","Stage"
"fit","Cis x Trans","Stage"
"CG4891","Cis x Trans","Stage"
"CG7290","Cis x Trans","Stage"
"CG33333","Cis x Trans","Stage"
"CG15617","Cis x Trans","Stage"
"pgc","Cis x Trans","Stage"
"ProtB","Cis x Trans","Stage"
"CG31496","Cis x Trans","Stage"
"CG9021","Cis x Trans","Stage"
"CG34172","Cis x Trans","Stage"
"zpg","Cis x Trans","Stage"
"CG11854","Cis x Trans","Stage"
"E(spl)mgamma-HLH","Cis x Trans","Stage"
"otu","Cis x Trans","Stage"
"ImpE2","Cis x Trans","Stage"
"Gbeta76C","Cis x Trans","Stage"
"CG31988","Cis x Trans","Stage"
"Spn43Aa","Cis x Trans","Stage"
"CG4836","Cis x Trans","Stage"
"CG8834","Cis x Trans","Stage"
"CG10477","Cis x Trans","Stage"
"fs(1)Ya","Cis x Trans","Stage"
"Cpr12A","Cis x Trans","Stage"
"CG31207","Cis x Trans","Stage"
"CG2127","Cis x Trans","Stage"
"CG11211","Cis x Trans","Stage"
"CG14645","Cis x Trans","Stage"
"CG3906","Cis x Trans","Stage"
"CG8343","Cis x Trans","Stage"
"Ser8","Cis x Trans","Stage"
"CG11674","Cis x Trans","Stage"
"CG10104","Cis x Trans","Stage"
"Lcp4","Cis x Trans","Stage"
"CG5945","Cis x Trans","Stage"
"CG15109","Cis x Trans","Stage"
"CG43134","Cis x Trans","Stage"
"Vml","Cis x Trans","Stage"
"APC7","Cis x Trans","Stage"
"trp","Cis x Trans","Stage"
"CG9133","Cis x Trans","Stage"
"CG8564","Cis x Trans","Stage"
"CG34204","Cis x Trans","Stage"
"S-Lap8","Cis x Trans","Stage"
"CG11912","Cis x Trans","Stage"
"tomboy40","Cis x Trans","Stage"
"CG30039","Cis x Trans","Stage"
"Vm26Ab","Cis x Trans","Stage"
"CG12860","Cis x Trans","Stage"
"CG13245","Cis x Trans","Stage"
"sut4","Cis x Trans","Stage"
"CheA7a","Cis x Trans","Stage"
"Mst98Cb","Cis x Trans","Stage"
"Cpr49Ae","Cis x Trans","Stage"
"CG12539","Cis x Trans","Stage"
"Alp1","Cis x Trans","Stage"
"CG31077","Cis x Trans","Stage"
"CG32834","Cis x Trans","Stage"
"CG12470","Cis x Trans","Stage"
"CG10920","Cis x Trans","Stage"
"CG12861","Cis x Trans","Stage"
"CG14300","Cis x Trans","Stage"
"CG43052","Cis x Trans","Stage"
"CG3483","Cis x Trans","Stage"
"Pxt","Cis x Trans","Stage"
"clos","Cis x Trans","Stage"
"CG31788","Cis x Trans","Stage"
"CG5790","Cis x Trans","Stage"
"CG3124","Cis x Trans","Stage"
"CG3213","Cis x Trans","Stage"
"Vm26Ac","Cis x Trans","Stage"
"CG2053","Cis x Trans","Stage"
"CG31787","Cis x Trans","Stage"
"Lcp1","Cis x Trans","Stage"
"CG9389","Cis x Trans","Stage"
"Ppi1","Cis x Trans","Stage"
"CG30378","Cis x Trans","Stage"
"sowi","Cis x Trans","Stage"
"CG11349","Cis x Trans","Stage"
"CG10869","Cis x Trans","Stage"
"l(2)k05911","Cis x Trans","Stage"
"gskt","Cis x Trans","Stage"
"fs(1)M3","Cis x Trans","Stage"
"d","Cis x Trans","Stage"
"CG5043","Cis x Trans","Stage"
"CG5968","Cis x Trans","Stage"
"CG34298","Cis x Trans","Stage"
"CG18266","Cis x Trans","Stage"
"sunz","Cis x Trans","Stage"
"Ser12","Cis x Trans","Stage"
"CG9222","Cis x Trans","Stage"
"CG1561","Cis x Trans","Stage"
"Hex-t2","Cis x Trans","Stage"
"CG7202","Cis x Trans","Stage"
"CG12307","Cis x Trans","Stage"
"CG13898","Cis x Trans","Stage"
"Hsp60C","Cis x Trans","Stage"
"dj","Cis x Trans","Stage"
"CG9010","Cis x Trans","Stage"
"CG3330","Cis x Trans","Stage"
"CG5539","Cis x Trans","Stage"
"Six4","Cis x Trans","Stage"
"Arr1","Cis x Trans","Stage"
"CG17564","Cis x Trans","Stage"
"CG31528","Cis x Trans","Stage"
"CG7813","Cis x Trans","Stage"
"Ppm1","Cis x Trans","Stage"
"CG31029","Cis x Trans","Stage"
"ms(2)35Ci","Cis x Trans","Stage"
"CG6927","Cis x Trans","Stage"
"frm","Cis x Trans","Stage"
"Iris","Cis x Trans","Stage"
"CG14305","Cis x Trans","Stage"
"S-Lap4","Cis x Trans","Stage"
"Acp65Aa","Cis x Trans","Stage"
"CG4375","Cis x Trans","Stage"
"Hex-C","Cis x Trans","Stage"
"CG14545","Cis x Trans","Stage"
"ms(3)76Ca","Cis x Trans","Stage"
"Ama","Cis x Trans","Stage"
"swif","Cis x Trans","Stage"
"piwi","Cis x Trans","Stage"
"CG14926","Cis x Trans","Stage"
"CG13164","Cis x Trans","Stage"
"Mst33A","Cis x Trans","Stage"
"CG5866","Cis x Trans","Stage"
"blanks","Cis x Trans","Stage"
"CG2267","Cis x Trans","Stage"
"CG17134","Cis x Trans","Stage"
"Hsp60B","Cis x Trans","Stage"
"CG31609","Cis x Trans","Stage"
"rpk","Cis x Trans","Stage"
"CG15425","Cis x Trans","Stage"
"CR43176","Cis x Trans","Stage"
"CG1340","Cis x Trans","Stage"
"CG3502","Cis x Trans","Stage"
"Cda9","Cis x Trans","Stage"
"CG3473","Cis x Trans","Stage"
"CG4669","Cis x Trans","Stage"
"Klp59C","Cis x Trans","Stage"
"CG7567","Cis x Trans","Stage"
"CG6304","Cis x Trans","Stage"
"CG10734","Cis x Trans","Stage"
"CG14540","Cis x Trans","Stage"
"Tengl3","Cis x Trans","Stage"
"eIF4E-4","Cis x Trans","Stage"
"CG16782","Cis x Trans","Stage"
"CG2444","Cis x Trans","Stage"
"CG6262","Cis x Trans","Stage"
"CG32249","Cis x Trans","Stage"
"CG31226","Cis x Trans","Stage"
"CG18449","Cis x Trans","Stage"
"CG9861","Cis x Trans","Stage"
"CG15200","Cis x Trans","Stage"
"CG11327","Cis x Trans","Stage"
"CG7311","Cis x Trans","Stage"
"CG8501","Cis x Trans","Stage"
"mil","Cis x Trans","Stage"
"CG9863","Cis x Trans","Stage"
"CG42835","Cis x Trans","Stage"
"CG31088","Cis x Trans","Stage"
"CG8993","Cis x Trans","Stage"
"lox2","Cis x Trans","Stage"
"CG11796","Cis x Trans","Stage"
